Altezza,Peso,CirconferenzaPolso,CirconferenzaTorace,Sesso
162,62,22,114,F
159,94,14,110,M
196,76,22,112,F
170,82,15,84,F
162,96,16,76,M
196,83,14,94,F
155,73,22,111,M
193,48,18,77,M
178,95,19,80,M
174,75,19,76,M
192,91,18,114,M
167,51,22,99,M
152,71,16,101,M
194,98,18,78,M
160,77,14,116,F
190,63,19,93,F
183,77,15,77,M
200,100,20,103,M
162,75,16,82,F
192,75,19,92,M
170,70,14,117,F
180,59,16,108,F
193,93,14,102,F
150,78,14,91,M
188,58,21,76,F
163,88,20,80,F
160,74,21,87,F
153,50,17,109,M
181,75,20,99,F
193,74,14,106,F
184,73,20,82,M
165,54,19,107,M
186,50,22,98,F
174,98,19,97,M
159,80,15,110,M
158,95,14,95,M
167,58,19,84,M
160,83,16,110,M
164,61,18,120,F
183,95,16,106,M
171,57,14,115,F
184,66,20,78,M
189,94,14,78,M
185,75,16,105,F
154,52,21,99,F
158,62,18,92,F
170,46,17,116,F
166,68,15,115,F
169,76,20,79,M
163,49,19,90,F
189,77,17,99,F
187,82,20,77,F
195,94,20,79,M
155,95,16,89,F
164,97,19,92,F
181,58,17,95,F
168,65,17,113,F
181,75,16,80,M
185,82,15,92,M
196,72,22,77,F
165,82,22,118,M
193,81,19,90,F
157,62,22,84,F
162,56,14,82,M
200,93,21,80,M
181,75,20,114,F
189,97,15,91,M
178,52,21,116,M
163,47,19,112,M
158,76,16,97,M
155,53,14,104,F
173,51,20,89,F
157,49,16,114,M
177,77,20,99,F
194,71,14,92,M
169,47,19,81,M
199,92,20,96,M
183,49,20,86,F
169,80,17,115,F
166,64,17,75,M
191,67,22,119,M
180,62,17,96,F
159,93,14,113,F
160,53,18,83,M
159,74,14,88,M
197,74,22,87,M
181,70,19,104,F
200,51,21,90,M
180,96,14,103,M
178,68,19,87,F
150,69,21,86,F
170,80,18,101,F
174,87,19,116,M
166,83,14,102,F
156,93,18,112,F
190,99,14,85,M
172,56,16,89,M
156,73,16,119,M
170,94,14,94,F
166,89,21,101,F
